order,y_coordinate,x_coordinate,r,g,b,UK_colors,RU_colors
63,8,20,130,219,192,"['Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Turquoise', 'Turquoise', 'Blue', 'Green', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Green']","['Голубой', 'Голубой', 'Голубой', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Голубой', 'Бирюзовый', 'Бирюзовый', 'Зеленый', 'Зеленый']"
64,8,21,127,219,198,"['Turquoise', 'Green', 'Turquoise', 'Green', 'Green', 'Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Blue', 'Green', 'Blue', 'Blue', 'Turquoise', 'Green', 'Blue', 'Blue', 'Turquoise', 'Turquoise']","['Голубой', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Бирюзовый']"
65,8,22,154,214,204,"['Turquoise', 'Turquoise', 'Beige', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Green', 'Green', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Green', 'Turquoise', 'Turquoise']","['Голубой', 'Голубой', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бежевый', 'Голубой', 'Бирюзовый', 'Голубой', 'Бирюзовый', 'Бирюзовый']"
66,8,23,154,213,209,"['Blue', 'Blue', 'Green', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Голубой', 'Бирюзовый', 'Голубой', 'Бирюзовый', 'Голубой', 'Бежевый', 'Бирюзовый', 'Голубой', 'Бирюзовый', 'Бирюзовый']"
67,8,24,154,213,215,"['Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Blue']","['Зеленый', 'Бирюзовый', 'Бирюзовый', 'Голубой', 'Голубой', 'Бирюзовый', 'Голубой', 'Фиолетовый', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
68,8,25,155,212,219,"['Blue', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']","['Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Голубой', 'Голубой', 'Бирюзовый', 'Голубой', 'Бирюзовый', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
69,8,26,160,210,223,"['Blue', 'Purple', 'Turquoise', 'Blue', 'Blue', 'Black', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Gray', 'Blue', 'Blue', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
70,8,27,166,209,225,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Бирюзовый', 'Голубой', 'Фиолетовый', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
71,8,28,173,207,228,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Gray', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Синий', 'Голубой', 'Фиолетовый', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
72,8,29,164,207,245,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
73,8,30,175,204,247,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Лиловый', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Фиолетовый', 'Голубой', 'Голубой', 'Голубой']"
74,8,31,195,201,229,"['Purple', 'Silver', 'Purple', 'Blue', 'Blue', 'Purple', 'Purple', 'Purple', 'Gray', 'Gray', 'Silver', 'Gray', 'Purple', 'Purple', 'Purple', 'Blue', 'Blue', 'Purple', 'Blue', 'Blue', 'Purple', 'Purple']","['Бирюзовый', 'Голубой', 'Фиолетовый', 'Бирюзовый', 'Голубой', 'Голубой', 'Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Бирюзовый', 'Голубой', 'Лиловый']"
75,8,32,201,200,227,"['Purple', 'Purple', 'Gray', 'Purple', 'Gray', 'Purple', 'Purple', 'Purple', 'Gray', 'Blue', 'Purple', 'Purple', 'Blue', 'Blue', 'Silver', 'Blue', 'Purple', 'Purple', 'Purple']","['Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Белый', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Голубой']"
76,8,33,207,198,226,"['Gray', 'Purple', 'Gray', 'Purple', 'Purple', 'Silver', 'Gray', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Gray', 'Purple']","['Бирюзовый', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Лиловый', 'Голубой', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Голубой']"
77,8,34,211,197,223,"['Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Beige', 'Purple', 'Gray', 'Purple', 'Purple', 'Purple', 'Silver', 'Purple', 'Silver', 'Purple', 'Purple']","['Фиолетовый', 'Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Лиловый', 'Серый', 'Лиловый']"
78,8,35,227,191,226,"['Pink', 'Pink', 'Purple', 'Pink', 'Purple', 'Purple', 'Purple', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Лиловый', 'Розовый', 'Лиловый', 'Розовый', 'Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Розовый']"
79,8,36,234,189,221,"['Pink', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Purple', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Лиловый', 'Розовый', 'Розовый', 'Розовый', 'Фиолетовый', 'Розовый', 'Лиловый', 'Лиловый', 'Лиловый', 'Розовый', 'Розовый', 'Лиловый', 'Розовый']"
80,8,37,240,188,213,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Фиолетовый', 'Розовый', 'Лиловый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
81,8,38,245,187,205,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
82,8,39,247,186,198,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Лиловый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
83,8,40,250,186,192,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
84,7,0,175,175,175,"['Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Purple', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Beige', 'Silver', 'Gray', 'Gray', 'Gray']","['Серый', 'Голубой', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Серый', 'Лиловый']"
85,7,1,238,152,154,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Лиловый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
86,7,2,239,152,146,"['Pink', 'Pink', 'Pink', 'Pink', 'Green', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Красный', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
87,7,3,254,146,124,"['Pink', 'Pink', 'Pink', 'Pink', 'Orange', 'Pink', 'Orange', 'Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Pink', 'Beige', 'Orange', 'Pink', 'Brown', 'Orange', 'Pink']","['Розовый', 'Розовый', 'Красный', 'Красный', 'Розовый', 'Розовый', 'Оранжевый', 'Розовый', 'Оранжевый', 'Оранжевый', 'Розовый']"
88,7,4,251,149,109,"['Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Pink', 'Orange', 'Pink', 'Orange', 'Orange', 'Orange', 'Orange', 'Pink', 'Pink', 'Orange', 'Orange', 'Orange', 'Orange']","['Розовый', 'Розовый', 'Оранжевый', 'Оранжевый', 'Розовый', 'Розовый', 'Оранжевый', 'Розовый', 'Оранжевый', 'Оранжевый', 'Розовый', 'Оранжевый']"
89,7,5,247,152,95,"['Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Pink', 'Orange', 'Orange', 'Beige', 'Pink', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange']","['Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый']"
90,7,6,255,149,0,"['Orange', 'Orange', 'Orange', 'Yellow', 'Yellow', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Yellow', 'Orange', 'Orange', 'Orange', 'Orange', 'Brown', 'Gold', 'Brown', 'Orange']","['Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый']"
91,7,7,245,156,0,"['Orange', 'Orange', 'Gold', 'Orange', 'Orange', 'Orange', 'Yellow', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Gold']","['Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Бежевый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Оранжевый']"
92,7,8,234,162,0,"['Yellow', 'Yellow', 'Orange', 'Gold', 'Orange', 'Gold', 'Gold', 'Orange', 'Orange', 'Orange', 'Orange', 'Gold', 'Gold', 'Gold', 'Orange', 'Yellow', 'Orange', 'Gold', 'Orange']","['Оранжевый', 'Желтый', 'Оранжевый', 'Желтый', 'Желтый', 'Оранжевый', 'Желтый', 'Желтый', 'Желтый', 'Оранжевый', 'Оранжевый', 'Оранжевый', 'Желтый']"
93,7,9,219,168,0,"['Orange', 'Gold', 'Gold', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Gold', 'Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Yellow', 'Gold', 'Gold']","['Желтый', 'Желтый', 'Желтый', 'Оранжевый', 'Желтый', 'Оранжевый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый']"
94,7,10,207,173,0,"['Yellow', 'Yellow', 'Gold', 'Gold', 'Gold', 'Green', 'Yellow', 'Gold', 'Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Gold', 'Brown', 'Gold', 'Orange', 'Green', 'Gold']","['Оранжевый', 'Желтый', 'Желтый', 'Бежевый', 'Желтый', 'Коричневый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый']"
95,7,11,196,177,0,"['Yellow', 'Gold', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Brown', 'Gold', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Gold', 'Beige', 'Green', 'Gold', 'Green', 'Yellow']","['Желтый', 'Зеленый', 'Желтый', 'Желтый', 'Зеленый', 'Желтый', 'Желтый', 'Зеленый', 'Желтый', 'Зеленый', 'Желтый', 'Желтый', 'Желтый']"
96,7,12,185,181,0,"['Yellow', 'Beige', 'Yellow', 'Green', 'Yellow', 'Green', 'Green', 'Green', 'Gold', 'Yellow', 'Green', 'Gold', 'Green', 'Green', 'Green', 'Yellow', 'Green', 'Gold', 'Green']","['Зеленый', 'Желтый', 'Желтый', 'Зеленый', 'Желтый', 'Желтый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Желтый', 'Желтый', 'Желтый']"
97,7,13,170,185,0,"['Green', 'Green', 'Gold', 'Gold', 'Yellow', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Желтый', 'Зеленый']"
98,7,14,151,190,0,"['Green', 'Green', 'Brown', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Желтый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
99,7,15,129,193,71,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
100,7,16,105,195,96,"['Turquoise', 'Green', 'Beige', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
101,7,17,72,198,123,"['Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']","['Бирюзовый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый']"
102,7,18,88,195,148,"['Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green']","['Голубой', 'Бирюзовый', 'Зеленый', 'Зеленый', 'Бирюзовый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Зеленый', 'Зеленый', 'Бирюзовый', 'Зеленый']"
103,7,19,79,195,156,"['Turquoise', 'Turquoise', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Green', 'Turquoise', 'Turquoise', 'Green', 'Green']","['Бирюзовый', 'Бирюзовый', 'Зеленый', 'Зеленый', 'Зеленый', 'Бирюзовый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Бирюзовый']"
104,7,20,71,195,164,"['Turquoise', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green']","['Бирюзовый', 'Бирюзовый', 'Голубой', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Бежевый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Зеленый']"
105,7,21,63,195,172,"['Turquoise', 'Turquoise', 'Blue', 'Green', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise']","['Зеленый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Бирюзовый', 'Лиловый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый']"
106,7,22,54,195,182,"['Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise']","['Голубой', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Зеленый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый']"
107,7,23,100,190,187,"['Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Green', 'Turquoise', 'Blue', 'Turquoise', 'Turquoise', 'Green', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise']","['Бирюзовый', 'Голубой', 'Бирюзовый', 'Бирюзовый', 'Розовый', 'Бирюзовый', 'Бирюзовый', 'Голубой', 'Бирюзовый', 'Голубой', 'Голубой']"
108,7,24,100,189,195,"['Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Red', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Blue']","['Голубой', 'Голубой', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Бирюзовый']"
109,7,25,102,188,201,"['Turquoise', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Black', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise']","['Бирюзовый', 'Голубой', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Бирюзовый', 'Голубой', 'Голубой', 'Бирюзовый', 'Голубой', 'Голубой', 'Голубой']"
110,7,26,109,186,208,"['Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Бирюзовый', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
111,7,27,118,185,211,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Синий', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
112,7,28,105,184,228,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']","['Голубой', 'Синий', 'Голубой', 'Синий', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Синий', 'Голубой', 'Голубой']"
113,7,29,125,181,231,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Beige', 'Blue']","['Голубой', 'Голубой', 'Голубой', 'Голубой', 'Синий', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Синий', 'Голубой', 'Голубой']"
114,7,30,140,178,232,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']","['Синий', 'Голубой', 'Голубой', 'Голубой', 'Лиловый', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
115,7,31,164,174,217,"['Blue', 'Purple', 'Purple', 'Purple', 'Blue', 'Blue', 'Purple', 'Purple', 'Purple', 'Blue', 'Blue', 'Blue', 'Silver', 'Blue', 'Gray', 'Purple', 'Blue', 'Blue', 'Blue']","['Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Голубой', 'Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Фиолетовый']"
116,7,32,175,171,215,"['Purple', 'Purple', 'Gray', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Gray', 'Purple', 'Gray', 'Blue', 'Blue', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Blue']","['Лиловый', 'Лиловый', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Бирюзовый', 'Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Лиловый']"
117,7,33,183,169,211,"['Purple', 'Purple', 'Purple', 'Purple', 'Blue', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Blue']","['Лиловый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Голубой', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Фиолетовый']"
118,7,34,190,167,207,"['Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Pink', 'Turquoise']","['Лиловый', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Фиолетовый', 'Лиловый']"
119,7,35,209,159,209,"['Purple', 'Pink', 'Purple', 'Purple', 'Pink', 'Purple', 'Pink', 'Purple', 'Purple', 'Pink', 'Purple', 'Purple', 'Pink', 'Purple', 'Pink', 'Pink', 'Turquoise', 'Purple', 'Pink', 'Pink']","['Фиолетовый', 'Лиловый', 'Розовый', 'Лиловый', 'Фиолетовый', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Лиловый', 'Розовый']"
120,7,36,217,157,201,"['Pink', 'Pink', 'Pink', 'Pink', 'Purple', 'Pink', 'Pink', 'Purple', 'Pink', 'Purple', 'Purple', 'Pink', 'Pink', 'Purple', 'Pink', 'Purple', 'Purple', 'Pink', 'Purple', 'Pink']","['Лиловый', 'Розовый', 'Розовый', 'Розовый', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Розовый', 'Розовый', 'Розовый', 'Фиолетовый', 'Розовый']"
121,7,37,235,149,196,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Blue', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Purple', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Лиловый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Лиловый', 'Розовый', 'Лиловый', 'Розовый', 'Розовый', 'Лиловый', 'Лиловый', 'Розовый']"
122,7,38,242,147,182,"['Red', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
123,7,39,233,153,172,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']","['Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Лиловый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
